Contig Name,Fragment_to_Length ratio
chr1,0.004183070090839741
chr2,0.00413643511320708
chr3,0.004116628116569203
chr4,0.004021522725730634
chr5,0.00408246399952488
chr6,0.004108734728543389
chr7,0.00405490018304447
chr8,0.0041296393272620005
chr9,0.004158615958648692
chr10,0.004200121456443083
chr11,0.004106569575224268
chr12,0.004098468017972447
chr13,0.00406298416139647
chr14,0.0041469741902601925
chr15,0.004247870665788454
chr16,0.004146874304794323
chr17,0.004175070593990877
chr18,0.004135150929164186
chr19,0.003907478873385051
chr20,0.004262075450593592
chr21,0.004085434687428267
chr22,0.004251600527911436
