Contig Name,Fragment_to_Length ratio
chr1,0.003931593662628146
chr2,0.00383257874015748
chr3,0.0037842349869451697
chr4,0.0036400516023900055
chr5,0.0037593192488262913
chr6,0.003771323434473854
chr7,0.003786971975393028
chr8,0.003830697924123121
chr9,0.003914172897196261
chr10,0.003973594249201278
chr11,0.0038863508222396243
chr12,0.0038221713615023472
chr13,0.0036814671361502346
chr14,0.003859576372315036
chr15,0.00402794235924933
chr16,0.004060560165975104
chr17,0.004094666666666667
chr18,0.003826064880112835
chr19,0.003928200371057514
chr20,0.004118149741824441
chr21,0.0037994311377245508
chr22,0.004264108280254777
