Contig Name,Fragment_to_Length ratio
chr1,0.0037886666082981224
chr2,0.003754467297195268
chr3,0.0037391492353543317
chr4,0.003661022838016883
chr5,0.0037103190505975905
chr6,0.0037435680708380655
chr7,0.003688456238024823
chr8,0.003741165580766783
chr9,0.0037624673568271796
chr10,0.003795776217470253
chr11,0.003749063288969249
chr12,0.0037173837839685987
chr13,0.0037104107220395496
chr14,0.0037707738505925363
chr15,0.0038470057505750376
chr16,0.003718838864047225
chr17,0.0037801131707161776
chr18,0.003755414063257062
chr19,0.0035487401236063225
chr20,0.0038177016906844525
chr21,0.003731989529938205
chr22,0.003807963386245502
