Contig Name,Fragment_to_Length ratio
chr1,0.003967204100652376
chr2,0.0038263735783027122
chr3,0.003774167101827676
chr4,0.0035970803910917977
chr5,0.003734832746478873
chr6,0.0037517688831504195
chr7,0.0037734654818865347
chr8,0.003814266284896206
chr9,0.003928607476635514
chr10,0.003981325878594249
chr11,0.0038942364917776036
chr12,0.003825254303599374
chr13,0.003640446009389671
chr14,0.0038758174224343676
chr15,0.00404989946380697
chr16,0.004129695712309821
chr17,0.0041955694444444445
chr18,0.003800888575458392
chr19,0.00409556586270872
chr20,0.004205327022375215
chr21,0.0038322155688622754
chr22,0.004451831210191083
