Contig Name,Fragment_to_Length ratio
chr1,0.003940302889095993
chr2,0.0038523622047244095
chr3,0.0038205352480417754
chr4,0.003683256382400869
chr5,0.0037840082159624412
chr6,0.0038142995480955457
chr7,0.003793591934381408
chr8,0.0038360057265569075
chr9,0.0039059719626168225
chr10,0.003947999201277955
chr11,0.0038997846515270163
chr12,0.0038343231611893585
chr13,0.0037346830985915493
chr14,0.0038910560859188544
chr15,0.004015904825737266
chr16,0.003977434301521438
chr17,0.004057847222222222
chr18,0.0038432369534555713
chr19,0.0038902226345083487
chr20,0.0040678227194492255
chr21,0.003848697604790419
chr22,0.004180716560509554
